Lexeme               Line#  TokenName            Value        ParentNodeSym             isLeaf NodeSym
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
----                 0      arithmeticExpression ---          assignmentStmt            no     arithmeticExpression
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
;                    30     TK_SEM               ---          assignmentStmt            yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          stmts                     no     otherStmts
read                 31     TK_READ              ---          ioStmt                    yes    ---
----                 0      ioStmt               ---          stmt                      no     ioStmt
(                    31     TK_OP                ---          ioStmt                    yes    ---
d5cb34567            31     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          ioStmt                    no     var
)                    31     TK_CL                ---          ioStmt                    yes    ---
;                    31     TK_SEM               ---          ioStmt                    yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          otherStmts                no     otherStmts
read                 32     TK_READ              ---          ioStmt                    yes    ---
----                 0      ioStmt               ---          stmt                      no     ioStmt
(                    32     TK_OP                ---          ioStmt                    yes    ---
b3b444               32     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          ioStmt                    no     var
)                    32     TK_CL                ---          ioStmt                    yes    ---
;                    32     TK_SEM               ---          ioStmt                    yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          otherStmts                no     otherStmts
[                    34     TK_SQL               ---          outputParameters          yes    ---
----                 0      outputParameters     ---          funCallStmt               no     outputParameters
c3                   34     TK_ID                ---          idList                    yes    ---
----                 0      idList               ---          outputParameters          no     idList
eps                  0      eps                  ---          moreIds                   yes    ---
----                 0      moreIds              ---          idList                    no     moreIds
]                    34     TK_SQR               ---          outputParameters          yes    ---
<---                 34     TK_ASSIGNOP          ---          outputParameters          yes    ---
----                 0      funCallStmt          ---          stmt                      no     funCallStmt
call                 34     TK_CALL              ---          funCallStmt               yes    ---
_computeFunctionValue 34     TK_FUNID             ---          funCallStmt               yes    ---
with                 34     TK_WITH              ---          funCallStmt               yes    ---
parameters           34     TK_PARAMETERS        ---          funCallStmt               yes    ---
[                    34     TK_SQL               ---          inputParameters           yes    ---
----                 0      inputParameters      ---          funCallStmt               no     inputParameters
b5                   34     TK_ID                ---          idList                    yes    ---
----                 0      idList               ---          inputParameters           no     idList
,                    34     TK_COMMA             ---          moreIds                   yes    ---
----                 0      moreIds              ---          idList                    no     moreIds
d5cb34567            34     TK_ID                ---          idList                    yes    ---
----                 0      idList               ---          moreIds                   no     idList
,                    34     TK_COMMA             ---          moreIds                   yes    ---
----                 0      moreIds              ---          idList                    no     moreIds
b3b444               34     TK_ID                ---          idList                    yes    ---
----                 0      idList               ---          moreIds                   no     idList
eps                  0      eps                  ---          moreIds                   yes    ---
----                 0      moreIds              ---          idList                    no     moreIds
]                    34     TK_SQR               ---          inputParameters           yes    ---
;                    34     TK_SEM               ---          funCallStmt               yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          otherStmts                no     otherStmts
write                35     TK_WRITE             ---          ioStmt                    yes    ---
----                 0      ioStmt               ---          stmt                      no     ioStmt
(                    35     TK_OP                ---          ioStmt                    yes    ---
c3                   35     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
